Data,ID Canal de Venda,Situação,Opção de Compra,ID Cliente,ID Vendedor,Funcionario,Ganho,Meta
03/01/2025,2,N,U,6,8,Leonardo Almeida,"327,06","1.431,00"
03/01/2025,1,N,U,9,7,Camila Souza,"123,24","981,00"
03/01/2025,2,N,U,10,9,Gabriela Lima,"315,88","525,00"
04/01/2025,2,N,U,11,8,Leonardo Almeida,"956,42","1.494,00"
04/01/2025,2,N,U,6,5,Júlia Fernandes,"772,80","891,00"
04/01/2025,1,N,U,7,2,Lucas Gabriel,"4.913,68","516,00"
04/01/2025,2,N,U,5,3,Mariana Oliveira,"4.276,26","206,00"
04/01/2025,2,N,U,1,5,Júlia Fernandes,"685,42","891,00"
04/01/2025,1,N,U,18,5,Júlia Fernandes,"781,06","891,00"
04/01/2025,2,N,U,18,6,Rafael Costa,"685,42","686,00"
04/01/2025,2,N,U,3,2,Lucas Gabriel,"134,90","516,00"
04/01/2025,2,N,A,17,9,Gabriela Lima,"1.139,04","172,00"
04/01/2025,1,N,A,12,8,Leonardo Almeida,"1.454,31","1.494,00"
04/01/2025,2,N,U,5,6,Rafael Costa,"375,90","686,00"
04/01/2025,1,N,U,12,3,Mariana Oliveira,"269,80","206,00"
04/01/2025,1,N,U,16,2,Lucas Gabriel,"1.121,40","516,00"
04/01/2025,1,N,U,4,9,Gabriela Lima,"1.090,25","172,00"
04/01/2025,1,N,U,2,10,Felipe Santos,"260,70","534,00"
04/01/2025,1,N,U,16,6,Rafael Costa,"513,85","686,00"
04/01/2025,2,N,A,12,10,Felipe Santos,"1.055,76","534,00"
04/01/2025,1,N,U,4,4,Pedro Henrique,"447,00","912,00"
04/01/2025,1,N,A,9,5,Júlia Fernandes,"585,57","891,00"
04/01/2025,1,N,U,16,4,Pedro Henrique,"578,46","912,00"
04/01/2025,2,N,U,14,8,Leonardo Almeida,"1.032,48","1.494,00"
04/01/2025,1,N,A,11,10,Felipe Santos,"1.206,95","534,00"
04/01/2025,1,N,U,10,5,Júlia Fernandes,"602,48","891,00"
04/01/2025,1,N,U,17,3,Mariana Oliveira,"726,52","206,00"
04/01/2025,1,N,U,14,1,Ana Beatriz,"799,68","877,00"
04/01/2025,2,N,U,16,6,Rafael Costa,"78,40","686,00"
05/01/2025,2,N,U,18,9,Gabriela Lima,"950,28","740,00"
05/01/2025,1,N,U,17,6,Rafael Costa,"7.839,81","1.215,00"
05/01/2025,2,N,A,5,10,Felipe Santos,"9.435,42","802,00"
05/01/2025,2,N,U,17,2,Lucas Gabriel,"1.323,02","1.140,00"
05/01/2025,1,N,U,16,6,Rafael Costa,"1.183,40","1.215,00"
05/01/2025,1,N,U,1,9,Gabriela Lima,"6.841,38","740,00"
05/01/2025,1,N,U,13,3,Mariana Oliveira,"1.557,50","511,00"
05/01/2025,1,N,U,3,10,Felipe Santos,"2.180,50","802,00"
05/01/2025,1,N,A,12,9,Gabriela Lima,"976,48","740,00"
05/01/2025,2,C,A,1,10,Felipe Santos,"818,52","802,00"
05/01/2025,1,N,U,7,8,Leonardo Almeida,"732,70","430,00"
05/01/2025,2,N,A,12,1,Ana Beatriz,"1.450,77","1.161,00"
05/01/2025,2,N,U,17,10,Felipe Santos,"1.390,24","802,00"
06/01/2025,1,N,U,11,3,Mariana Oliveira,"3.325,98","911,00"
06/01/2025,1,N,U,17,6,Rafael Costa,"2.578,30","1.110,00"
06/01/2025,1,N,U,7,7,Camila Souza,"1.338,96","1.088,00"
06/01/2025,1,N,A,13,4,Pedro Henrique,"1.540,48","1.175,00"
06/01/2025,2,N,U,15,7,Camila Souza,"603,50","1.088,00"
06/01/2025,2,N,U,13,3,Mariana Oliveira,"134,20","911,00"
06/01/2025,1,N,U,4,10,Felipe Santos,"158,60","421,00"
06/01/2025,1,N,U,6,4,Pedro Henrique,"5.488,14","1.175,00"
06/01/2025,2,C,U,7,7,Camila Souza,"1.374,32","1.088,00"
06/01/2025,1,N,A,3,4,Pedro Henrique,"2.933,48","1.175,00"
06/01/2025,1,N,A,17,3,Mariana Oliveira,"596,40","911,00"
06/01/2025,2,N,U,17,2,Lucas Gabriel,"246,56","938,00"
06/01/2025,2,N,U,8,6,Rafael Costa,"62,20","1.110,00"
06/01/2025,1,N,U,3,3,Mariana Oliveira,"507,60","911,00"
06/01/2025,2,N,U,17,5,Júlia Fernandes,"1.132,86","153,00"
06/01/2025,1,N,U,3,9,Gabriela Lima,"616,62","931,00"
06/01/2025,1,N,A,5,10,Felipe Santos,"1.070,10","421,00"
06/01/2025,2,N,U,4,10,Felipe Santos,"517,44","421,00"
06/01/2025,1,N,U,11,8,Leonardo Almeida,"203,84","1.044,00"
06/01/2025,1,N,U,1,2,Lucas Gabriel,"1.042,68","938,00"
06/01/2025,2,N,U,18,5,Júlia Fernandes,"12.859,72","153,00"
07/01/2025,1,N,A,5,8,Leonardo Almeida,"3.328,48","550,00"
07/01/2025,2,N,U,5,5,Júlia Fernandes,"440,20","1.091,00"
07/01/2025,1,N,U,2,2,Lucas Gabriel,"305,00","829,00"
07/01/2025,2,N,U,13,1,Ana Beatriz,"977,34","517,00"
07/01/2025,1,N,A,4,8,Leonardo Almeida,"661,01","550,00"
07/01/2025,2,N,U,8,10,Felipe Santos,"393,36","1.133,00"
07/01/2025,2,N,A,12,3,Mariana Oliveira,"606,34","902,00"
07/01/2025,2,N,U,3,10,Felipe Santos,"360,76","1.133,00"
07/01/2025,2,N,A,7,2,Lucas Gabriel,"673,40","829,00"
07/01/2025,2,N,A,1,6,Rafael Costa,"709,66","1.057,00"
07/01/2025,1,N,A,2,3,Mariana Oliveira,"955,26","902,00"
07/01/2025,1,N,A,9,2,Lucas Gabriel,"1.493,75","829,00"
07/01/2025,2,N,U,3,3,Mariana Oliveira,"1.132,86","902,00"
07/01/2025,1,N,U,15,10,Felipe Santos,"387,90","1.133,00"
07/01/2025,1,C,A,13,8,Leonardo Almeida,"5.734,75","550,00"
07/01/2025,2,N,A,18,6,Rafael Costa,"1.764,45","1.057,00"
07/01/2025,1,N,A,10,5,Júlia Fernandes,"33.307,45","1.091,00"
07/01/2025,2,N,U,11,5,Júlia Fernandes,"8.341,44","1.091,00"
08/01/2025,1,N,U,12,6,Rafael Costa,"1.969,10","1.098,00"
08/01/2025,1,N,A,1,1,Ana Beatriz,"11.303,82","219,00"
08/01/2025,1,N,U,5,2,Lucas Gabriel,"333,70","1.341,00"
08/01/2025,1,N,U,3,8,Leonardo Almeida,"124,96","511,00"
08/01/2025,1,N,U,12,10,Felipe Santos,"86,40","1.304,00"
08/01/2025,2,N,A,15,5,Júlia Fernandes,"585,57","397,00"
08/01/2025,2,N,U,9,2,Lucas Gabriel,"493,12","1.341,00"
08/01/2025,2,N,A,3,8,Leonardo Almeida,"804,42","511,00"
09/01/2025,1,N,A,7,4,Pedro Henrique,"2.789,36","953,00"
09/01/2025,1,N,U,9,3,Mariana Oliveira,"410,55","359,00"
09/01/2025,2,N,U,9,5,Júlia Fernandes,"4.355,45","1.311,00"
09/01/2025,1,N,U,1,9,Gabriela Lima,"6.053,40","897,00"
09/01/2025,1,N,U,9,10,Felipe Santos,"892,64","948,00"
09/01/2025,1,N,A,9,1,Ana Beatriz,"1.240,74","990,00"
09/01/2025,2,N,A,11,1,Ana Beatriz,"8.520,40","990,00"
09/01/2025,1,N,U,14,4,Pedro Henrique,"119,28","953,00"
09/01/2025,2,N,U,17,4,Pedro Henrique,"764,80","953,00"
09/01/2025,1,N,U,10,4,Pedro Henrique,"536,40","953,00"
09/01/2025,1,N,U,2,1,Ana Beatriz,"95,36","990,00"
09/01/2025,1,N,U,12,2,Lucas Gabriel,"5,36","421,00"
09/01/2025,1,N,U,12,7,Camila Souza,"528,70","534,00"
09/01/2025,2,N,A,15,3,Mariana Oliveira,"631,96","359,00"
09/01/2025,2,N,U,9,5,Júlia Fernandes,"215,10","1.311,00"
09/01/2025,2,N,U,15,7,Camila Souza,"416,42","534,00"
09/01/2025,1,C,A,18,4,Pedro Henrique,"5.278,00","953,00"
09/01/2025,2,N,U,16,9,Gabriela Lima,"360,64","897,00"
10/01/2025,1,C,U,13,8,Leonardo Almeida,"475,14","392,00"
10/01/2025,1,N,A,1,6,Rafael Costa,"9.106,62","251,00"
10/01/2025,1,N,U,15,10,Felipe Santos,"4.751,40","198,00"
10/01/2025,2,N,U,2,7,Camila Souza,"316,76","1.286,00"
10/01/2025,2,N,A,12,2,Lucas Gabriel,"341,28","898,00"
10/01/2025,1,N,U,12,10,Felipe Santos,"96,56","198,00"
10/01/2025,1,N,A,17,4,Pedro Henrique,"2.985,40","1.208,00"
10/01/2025,1,N,U,6,1,Ana Beatriz,"379,20","308,00"
10/01/2025,1,N,A,12,9,Gabriela Lima,"508,00","786,00"
10/01/2025,1,N,U,18,8,Leonardo Almeida,"143,06","392,00"
10/01/2025,2,N,U,8,7,Camila Souza,"620,40","1.286,00"
11/01/2025,2,N,U,18,7,Camila Souza,"1.338,96","1.409,00"
11/01/2025,2,N,U,13,8,Leonardo Almeida,"427,00","1.418,00"
11/01/2025,1,N,U,18,3,Mariana Oliveira,"537,75","293,00"
11/01/2025,1,N,U,12,1,Ana Beatriz,"11,95","764,00"
11/01/2025,2,N,U,14,7,Camila Souza,"211,20","1.409,00"
11/01/2025,1,N,A,17,10,Felipe Santos,"639,21","912,00"
11/01/2025,1,N,U,10,6,Rafael Costa,"294,80","778,00"
11/01/2025,1,N,U,2,3,Mariana Oliveira,"286,12","293,00"
11/01/2025,1,C,U,5,6,Rafael Costa,"398,08","778,00"
11/01/2025,2,N,A,17,9,Gabriela Lima,"806,49","358,00"
11/01/2025,2,C,U,6,2,Lucas Gabriel,"616,62","498,00"
11/01/2025,2,N,A,4,8,Leonardo Almeida,"5.075,00","1.418,00"
11/01/2025,2,N,U,9,3,Mariana Oliveira,"8.341,44","293,00"
11/01/2025,1,N,U,6,10,Felipe Santos,"3.823,16","912,00"
12/01/2025,1,N,U,5,9,Gabriela Lima,"8,05","188,00"
12/01/2025,1,N,U,4,4,Pedro Henrique,"4.035,60","1.357,00"
12/01/2025,1,N,U,11,8,Leonardo Almeida,"175,34","1.276,00"
12/01/2025,1,N,U,3,6,Rafael Costa,"268,16","178,00"
12/01/2025,1,N,A,8,5,Júlia Fernandes,"2.985,40","994,00"
12/01/2025,1,N,A,7,3,Mariana Oliveira,"3.011,36","1.318,00"
12/01/2025,2,N,U,13,8,Leonardo Almeida,"262,24","1.276,00"
12/01/2025,1,N,U,12,4,Pedro Henrique,"186,60","1.357,00"
12/01/2025,2,N,U,8,6,Rafael Costa,"304,78","178,00"
12/01/2025,1,N,U,1,3,Mariana Oliveira,"244,40","1.318,00"
12/01/2025,2,N,U,12,7,Camila Souza,"1.362,30","425,00"
12/01/2025,1,N,U,16,6,Rafael Costa,"44,30","178,00"
12/01/2025,2,N,U,1,8,Leonardo Almeida,"2.253,30","1.276,00"
13/01/2025,2,N,U,15,4,Pedro Henrique,"1.800,32","782,00"
13/01/2025,2,N,U,1,7,Camila Souza,"627,90","238,00"
13/01/2025,2,N,U,18,6,Rafael Costa,"3.757,52","419,00"
13/01/2025,1,N,U,2,4,Pedro Henrique,"4.513,83","782,00"
13/01/2025,2,N,A,12,2,Lucas Gabriel,"9.040,63","1.286,00"
13/01/2025,2,N,U,8,10,Felipe Santos,"10.201,10","665,00"
13/01/2025,1,N,U,17,5,Júlia Fernandes,"31,88","1.083,00"
13/01/2025,2,N,U,18,8,Leonardo Almeida,"603,50","923,00"
13/01/2025,1,N,U,7,7,Camila Souza,"5.638,50","238,00"
13/01/2025,1,N,U,6,7,Camila Souza,"269,80","238,00"
13/01/2025,2,N,U,12,8,Leonardo Almeida,"146,94","923,00"
13/01/2025,2,N,U,13,9,Gabriela Lima,"240,00","347,00"
13/01/2025,2,N,U,16,6,Rafael Costa,"384,00","419,00"
13/01/2025,2,N,U,16,9,Gabriela Lima,"321,60","347,00"
13/01/2025,2,N,U,9,7,Camila Souza,"398,08","238,00"
13/01/2025,1,N,U,1,2,Lucas Gabriel,"241,36","1.286,00"
13/01/2025,2,N,U,6,7,Camila Souza,"23.634,08","238,00"
14/01/2025,1,N,U,13,2,Lucas Gabriel,"815,77","1.124,00"
14/01/2025,1,N,A,11,8,Leonardo Almeida,"13.639,32","178,00"
14/01/2025,1,N,U,16,3,Mariana Oliveira,"1.067,98","297,00"
14/01/2025,1,N,U,2,2,Lucas Gabriel,"143,46","1.124,00"
14/01/2025,2,N,A,14,6,Rafael Costa,"1.732,28","1.286,00"
14/01/2025,1,N,U,11,8,Leonardo Almeida,"181,02","178,00"
14/01/2025,1,C,U,6,8,Leonardo Almeida,"4.932,90","178,00"
15/01/2025,1,C,A,10,1,Ana Beatriz,"811,91","1.247,00"
15/01/2025,2,N,U,8,8,Leonardo Almeida,"2.850,84","1.374,00"
15/01/2025,2,N,U,9,3,Mariana Oliveira,"4.117,88","958,00"
15/01/2025,2,N,A,4,1,Ana Beatriz,"7.852,81","1.247,00"
15/01/2025,2,N,U,12,4,Pedro Henrique,"462,26","177,00"
15/01/2025,1,N,U,6,10,Felipe Santos,"468,60","1.464,00"
15/01/2025,2,N,U,11,8,Leonardo Almeida,"561,20","1.374,00"
15/01/2025,1,N,U,6,7,Camila Souza,"143,06","738,00"
15/01/2025,2,N,U,7,10,Felipe Santos,"577,54","1.464,00"
16/01/2025,2,N,A,4,8,Leonardo Almeida,"2.578,40","1.196,00"
16/01/2025,2,N,U,11,10,Felipe Santos,"491,05","477,00"
16/01/2025,2,N,U,12,5,Júlia Fernandes,"586,60","1.166,00"
16/01/2025,1,N,A,17,2,Lucas Gabriel,"1.434,24","1.293,00"
16/01/2025,1,N,U,1,1,Ana Beatriz,"107,55","932,00"
16/01/2025,2,N,U,4,4,Pedro Henrique,"406,30","1.318,00"
16/01/2025,2,N,A,12,3,Mariana Oliveira,"544,00","827,00"
16/01/2025,1,N,A,8,3,Mariana Oliveira,"1.096,20","827,00"
16/01/2025,2,N,U,13,2,Lucas Gabriel,"65,80","1.293,00"
16/01/2025,2,N,U,10,7,Camila Souza,"789,60","984,00"
17/01/2025,1,N,A,10,9,Gabriela Lima,"10.089,36","1.293,00"
17/01/2025,1,N,A,4,7,Camila Souza,"728,16","652,00"
17/01/2025,1,N,U,5,8,Leonardo Almeida,"219,60","310,00"
17/01/2025,2,N,U,8,2,Lucas Gabriel,"524,60","1.065,00"
17/01/2025,1,N,A,12,6,Rafael Costa,"353,13","1.086,00"
17/01/2025,1,N,U,1,6,Rafael Costa,"239,00","1.086,00"
17/01/2025,2,N,U,3,8,Leonardo Almeida,"740,90","310,00"
17/01/2025,2,N,A,13,5,Júlia Fernandes,"720,65","415,00"
17/01/2025,1,N,A,17,6,Rafael Costa,"522,99","1.086,00"
17/01/2025,1,N,U,6,4,Pedro Henrique,"88,60","784,00"
17/01/2025,2,N,A,14,4,Pedro Henrique,"856,08","784,00"
17/01/2025,2,N,U,15,5,Júlia Fernandes,"508,58","415,00"
17/01/2025,2,N,U,12,5,Júlia Fernandes,"215,50","415,00"
17/01/2025,2,N,U,11,1,Ana Beatriz,"3.288,60","237,00"
17/01/2025,1,N,A,16,8,Leonardo Almeida,"6.699,00","310,00"
18/01/2025,1,N,U,11,4,Pedro Henrique,"1.237,72","1.185,00"
18/01/2025,1,N,A,7,5,Júlia Fernandes,"738,10","458,00"
18/01/2025,1,N,U,2,8,Leonardo Almeida,"322,00","1.012,00"
18/01/2025,2,N,A,6,7,Camila Souza,"7.226,40","357,00"
18/01/2025,1,N,U,17,9,Gabriela Lima,"1.498,36","164,00"
18/01/2025,2,N,U,4,3,Mariana Oliveira,"525,40","628,00"
18/01/2025,2,N,U,18,5,Júlia Fernandes,"134,90","458,00"
18/01/2025,1,N,U,9,7,Camila Souza,"988,20","357,00"
18/01/2025,2,N,U,9,9,Gabriela Lima,"218,68","164,00"
18/01/2025,1,C,U,18,3,Mariana Oliveira,"82,36","628,00"
18/01/2025,2,N,U,6,6,Rafael Costa,"740,90","779,00"
18/01/2025,2,N,A,15,9,Gabriela Lima,"963,09","164,00"
18/01/2025,2,N,A,11,6,Rafael Costa,"811,80","779,00"
18/01/2025,1,N,U,5,5,Júlia Fernandes,"6.603,64","458,00"
19/01/2025,2,N,U,4,2,Lucas Gabriel,"4.434,64","1.415,00"
19/01/2025,2,N,U,14,10,Felipe Santos,"99,40","1.449,00"
19/01/2025,1,N,U,13,7,Camila Souza,"1.207,80","1.463,00"
19/01/2025,2,C,A,15,10,Felipe Santos,"7.455,35","1.449,00"
19/01/2025,2,C,A,13,7,Camila Souza,"7.330,05","1.463,00"
19/01/2025,1,N,A,14,9,Gabriela Lima,"8.144,50","421,00"
19/01/2025,2,N,U,6,6,Rafael Costa,"1.127,70","1.300,00"
19/01/2025,2,N,U,3,10,Felipe Santos,"1.308,30","1.449,00"
19/01/2025,1,N,A,5,2,Lucas Gabriel,"1.015,92","1.415,00"
19/01/2025,1,N,A,13,5,Júlia Fernandes,"651,07","1.293,00"
19/01/2025,1,N,U,11,2,Lucas Gabriel,"435,08","1.415,00"
19/01/2025,1,N,A,6,2,Lucas Gabriel,"637,14","1.415,00"
19/01/2025,1,N,U,7,9,Gabriela Lima,"760,02","421,00"
19/01/2025,1,N,U,1,7,Camila Souza,"548,80","1.463,00"
20/01/2025,1,N,U,14,4,Pedro Henrique,"196,91","1.215,00"
20/01/2025,1,N,U,4,7,Camila Souza,"722,60","1.226,00"
20/01/2025,1,N,U,15,2,Lucas Gabriel,"3.082,38","812,00"
20/01/2025,2,N,U,12,7,Camila Souza,"45,44","1.226,00"
20/01/2025,1,N,A,2,2,Lucas Gabriel,"1.434,24","812,00"
20/01/2025,1,N,U,10,3,Mariana Oliveira,"85,76","371,00"
20/01/2025,2,N,U,14,7,Camila Souza,"123,28","1.226,00"
20/01/2025,2,N,U,5,7,Camila Souza,"24,88","1.226,00"
20/01/2025,2,N,U,17,9,Gabriela Lima,"75,20","394,00"
20/01/2025,1,N,U,18,8,Leonardo Almeida,"448,24","248,00"
20/01/2025,2,N,U,3,1,Ana Beatriz,"5.908,52","402,00"
21/01/2025,1,N,U,7,1,Ana Beatriz,"128,80","412,00"
21/01/2025,1,N,A,14,5,Júlia Fernandes,"13.172,22","1.470,00"
21/01/2025,1,N,U,16,8,Leonardo Almeida,"4.932,40","766,00"
21/01/2025,1,N,U,12,5,Júlia Fernandes,"5.941,30","1.470,00"
21/01/2025,1,N,U,16,5,Júlia Fernandes,"113,60","1.470,00"
21/01/2025,1,N,U,7,6,Rafael Costa,"447,30","630,00"
21/01/2025,1,N,U,11,4,Pedro Henrique,"156,20","1.306,00"
21/01/2025,2,N,A,3,6,Rafael Costa,"477,95","630,00"
21/01/2025,2,N,A,11,4,Pedro Henrique,"598,98","1.306,00"
21/01/2025,1,C,U,7,1,Ana Beatriz,"194,92","412,00"
21/01/2025,1,N,U,1,10,Felipe Santos,"664,50","420,00"
21/01/2025,1,N,A,1,1,Ana Beatriz,"1.033,92","412,00"
21/01/2025,1,N,A,7,2,Lucas Gabriel,"1.921,29","1.008,00"
22/01/2025,1,N,U,8,2,Lucas Gabriel,"4.259,80","981,00"
22/01/2025,2,N,U,11,10,Felipe Santos,"1.275,20","504,00"
22/01/2025,2,N,U,13,2,Lucas Gabriel,"218,68","981,00"
22/01/2025,2,N,A,6,1,Ana Beatriz,"1.095,60","1.289,00"
22/01/2025,1,N,A,9,4,Pedro Henrique,"1.304,76","825,00"
22/01/2025,1,N,A,18,8,Leonardo Almeida,"730,59","400,00"
22/01/2025,2,N,A,5,10,Felipe Santos,"661,56","504,00"
22/01/2025,1,N,A,6,6,Rafael Costa,"1.326,45","770,00"
22/01/2025,1,N,U,3,4,Pedro Henrique,"358,50","825,00"
22/01/2025,1,N,A,14,6,Rafael Costa,"969,30","770,00"
22/01/2025,2,N,U,9,7,Camila Souza,"1.097,60","555,00"
22/01/2025,1,N,U,17,10,Felipe Santos,"219,52","504,00"
23/01/2025,1,N,U,8,8,Leonardo Almeida,"1.012,68","1.065,00"
23/01/2025,1,N,U,17,2,Lucas Gabriel,"128,80","601,00"
23/01/2025,2,N,U,5,10,Felipe Santos,"3.902,04","375,00"
23/01/2025,2,N,U,1,7,Camila Souza,"6.176,82","979,00"
23/01/2025,2,N,U,6,8,Leonardo Almeida,"5.605,00","1.065,00"
23/01/2025,1,N,U,9,8,Leonardo Almeida,"10.313,20","1.065,00"
23/01/2025,2,N,U,7,5,Júlia Fernandes,"902,16","1.003,00"
23/01/2025,2,N,U,11,10,Felipe Santos,"404,95","375,00"
23/01/2025,2,N,U,14,8,Leonardo Almeida,"597,50","1.065,00"
23/01/2025,2,N,U,15,3,Mariana Oliveira,"107,55","1.117,00"
23/01/2025,1,N,A,13,1,Ana Beatriz,"532,00","1.447,00"
23/01/2025,1,N,U,4,6,Rafael Costa,"310,88","254,00"
23/01/2025,2,N,U,15,7,Camila Souza,"188,00","979,00"
23/01/2025,2,N,A,18,9,Gabriela Lima,"1.151,01","224,00"
23/01/2025,2,N,U,3,3,Mariana Oliveira,"315,48","1.117,00"
24/01/2025,2,N,U,16,3,Mariana Oliveira,"1.434,63","1.213,00"
24/01/2025,2,N,A,9,2,Lucas Gabriel,"952,82","1.172,00"
24/01/2025,2,N,U,12,8,Leonardo Almeida,"7.047,91","648,00"
24/01/2025,1,N,U,13,5,Júlia Fernandes,"2.296,51","1.208,00"
24/01/2025,2,N,A,2,6,Rafael Costa,"11.770,92","1.447,00"
24/01/2025,1,N,A,15,3,Mariana Oliveira,"597,92","1.213,00"
24/01/2025,1,N,U,2,5,Júlia Fernandes,"426,60","1.208,00"
24/01/2025,2,N,U,17,4,Pedro Henrique,"71,52","932,00"
25/01/2025,1,C,A,18,10,Felipe Santos,"2.719,04","396,00"
25/01/2025,2,N,U,5,6,Rafael Costa,"1.223,48","1.322,00"
25/01/2025,1,N,U,16,2,Lucas Gabriel,"1.005,60","673,00"
25/01/2025,1,N,U,13,3,Mariana Oliveira,"249,20","372,00"
25/01/2025,2,N,U,15,7,Camila Souza,"740,90","1.036,00"
25/01/2025,1,N,A,13,9,Gabriela Lima,"456,00","181,00"
25/01/2025,2,N,U,9,5,Júlia Fernandes,"282,00","994,00"
25/01/2025,1,N,U,9,7,Camila Souza,"932,10","1.036,00"
25/01/2025,2,N,U,12,5,Júlia Fernandes,"3.166,80","994,00"
26/01/2025,1,N,U,7,1,Ana Beatriz,"2.250,40","1.362,00"
26/01/2025,1,N,U,4,7,Camila Souza,"732,55","989,00"
26/01/2025,2,N,U,16,6,Rafael Costa,"6.720,18","874,00"
26/01/2025,1,C,A,3,1,Ana Beatriz,"6.744,64","1.362,00"
26/01/2025,2,N,U,13,2,Lucas Gabriel,"5.860,06","834,00"
26/01/2025,2,C,U,13,10,Felipe Santos,"7.622,80","1.483,00"
26/01/2025,2,N,A,3,8,Leonardo Almeida,"1.394,40","885,00"
26/01/2025,2,N,U,13,3,Mariana Oliveira,"106,50","591,00"
26/01/2025,1,N,U,1,2,Lucas Gabriel,"305,00","834,00"
26/01/2025,2,N,A,4,3,Mariana Oliveira,"1.057,68","591,00"
26/01/2025,1,N,A,3,10,Felipe Santos,"8.708,35","1.483,00"
26/01/2025,1,N,U,1,1,Ana Beatriz,"996,80","1.362,00"
26/01/2025,2,N,U,8,6,Rafael Costa,"872,20","874,00"
26/01/2025,1,N,U,8,10,Felipe Santos,"47,40","1.483,00"
26/01/2025,2,N,U,1,7,Camila Souza,"249,60","989,00"
26/01/2025,1,N,A,13,1,Ana Beatriz,"527,46","1.362,00"
26/01/2025,2,N,U,12,3,Mariana Oliveira,"450,24","591,00"
26/01/2025,1,N,A,17,2,Lucas Gabriel,"652,62","834,00"
26/01/2025,1,N,A,16,8,Leonardo Almeida,"569,80","885,00"
26/01/2025,1,N,A,9,1,Ana Beatriz,"564,62","1.362,00"
26/01/2025,1,N,U,10,9,Gabriela Lima,"318,94","1.466,00"
26/01/2025,2,N,U,13,4,Pedro Henrique,"1.113,28","925,00"
27/01/2025,2,C,U,2,7,Camila Souza,"9.640,60","375,00"
27/01/2025,1,N,A,18,2,Lucas Gabriel,"1.859,20","1.034,00"
27/01/2025,1,N,U,16,6,Rafael Costa,"42,60","333,00"
27/01/2025,2,N,A,10,1,Ana Beatriz,"728,16","572,00"
27/01/2025,1,N,A,1,9,Gabriela Lima,"1.145,40","1.279,00"
27/01/2025,2,N,A,17,10,Felipe Santos,"521,85","1.044,00"
27/01/2025,2,N,A,5,10,Felipe Santos,"740,53","1.044,00"
27/01/2025,1,N,U,3,9,Gabriela Lima,"69,68","1.279,00"
27/01/2025,1,N,U,4,1,Ana Beatriz,"673,36","572,00"
27/01/2025,1,N,U,5,3,Mariana Oliveira,"862,40","1.257,00"
28/01/2025,1,N,U,6,5,Júlia Fernandes,"1.227,38","1.490,00"
28/01/2025,2,N,U,1,10,Felipe Santos,"475,70","1.311,00"
28/01/2025,2,N,U,5,9,Gabriela Lima,"268,40","941,00"
28/01/2025,2,N,U,6,3,Mariana Oliveira,"255,60","973,00"
28/01/2025,1,N,U,14,9,Gabriela Lima,"93,72","941,00"
28/01/2025,2,N,A,12,8,Leonardo Almeida,"2.933,48","284,00"
28/01/2025,1,N,U,5,4,Pedro Henrique,"71,10","1.247,00"
28/01/2025,1,N,U,4,8,Leonardo Almeida,"1.015,75","284,00"
